NEU_E3	NEU_E3	NEU_E3	NEU_E4	NEU_E4	NEU_E4
SNORD115-38	0	0	0	0	0	0
SNORD115-39	0	0	0	0	0	0
SNORD115-40	0	0	0	0	0	0
SNORD115-41	0	0	0	0	0	0
SNORD115-42	0	0	0	0	0	0
SNORD115-44	0	0	0	0	0	0
SNORD115-45	2	0	1	2	0	0
SNORD115-47	0	0	0	0	0	0
SNORD115-48	0	0	0	0	0	0
UBE3A	982	1074	1054	1055	891	1066
ATP10A	4	2	8	6	2	0
MIR4715	0	0	0	0	0	0
LOC100128714	0	0	1	1	0	0
LOC503519	0	0	0	2	0	0
GABRB3	2644	3300	3790	4371	4606	3435
GABRA5	432	434	572	648	622	287
GABRG3	111	25	27	54	45	15
OCA2	5	13	4	7	2	1
HERC2	1100	983	1277	1457	1414	1478
GOLGA8G	0	0	0	0	0	0
GOLGA8F	0	0	0	0	0	0
HERC2P9	17	30	6	21	20	9
WHAMMP2	11	7	11	18	19	7
LOC100289656	0	0	0	0	0	0
LOC646278	31	35	35	56	30	53
GOLGA6L7P	0	0	0	0	0	0
APBA2	1521	1899	2063	2118	2159	1901
FAM189A1	286	159	304	300	329	524
NDNL2	258	226	277	236	309	203
TJP1	270	545	352	470	430	481
ULK4P3	1	3	3	3	2	0
GOLGA8T	6	6	7	13	7	5
DKFZP434L187	0	6	2	1	4	3
CHRFAM7A	22	11	21	21	10	22
ULK4P1	0	0	0	0	0	0
ULK4P2	0	0	0	0	0	0
ARHGAP11B	0	0	0	0	0	0
LOC100288637	6	8	1	3	2	4
HERC2P10	1	1	0	0	0	0
FAN1	260	299	267	293	279	265
MTMR10	28	59	34	54	39	49
TRPM1	0	2	0	0	0	0
MIR211	0	0	0	0	0	0
LOC283710	0	0	0	0	0	0
KLF13	630	538	422	565	513	703
OTUD7A	60	61	57	80	72	71
CHRNA7	13	11	18	17	24	21
WHAMMP1	8	13	14	13	9	13
ARHGAP11A	5	46	4	5	11	8
SCG5	2645	2195	2723	2893	4076	2557
GREM1	0	4	2	2	0	0
FMN1	61	21	15	31	22	36
TMCO5B	0	0	0	0	0	0
RYR3	66	76	60	97	75	35
AVEN	135	142	153	128	150	145
CHRM5	2	4	0	3	3	2
EMC7	607	559	676	538	721	602
PGBD4	36	31	23	24	18	23
KATNBL1	114	126	101	118	138	109
EMC4	655	602	643	484	579	520
SLC12A6	430	574	529	797	741	554
NOP10	453	402	439	401	443	343
C15orf55	0	2	1	0	0	0
LPCAT4	941	660	743	805	874	795
GOLGA8A	202	209	105	180	71	61
MIR1233-1	0	0	0	0	0	0
MIR1233-2	0	0	0	0	0	0
GOLGA8B	103	84	25	99	29	23
GJD2	84	100	90	106	102	41
ACTC1	12	69	23	27	21	9
AQR	259	315	230	329	328	315
ZNF770	551	1008	936	974	1026	921
ANP32AP1	0	0	0	0	0	0
ATPBD4	34	36	42	35	29	22
MIR3942	0	0	0	0	0	0
ATPBD4-AS1	2	1	6	2	2	3
MIR4510	0	0	0	0	0	0
C15orf41	157	242	234	222	235	206
CSNK1A1P1	0	0	1	0	3	3
LOC145845	0	7	2	4	9	35
MEIS2	11	606	141	125	184	396
TMCO5A	0	0	0	0	0	0
SPRED1	456	398	461	520	585	514
FAM98B	169	234	195	207	210	158
RASGRP1	56	18	13	12	18	12
C15orf53	0	0	0	0	0	0
C15orf54	0	0	2	0	0	1
THBS1	21	56	12	70	26	4
FSIP1	13	24	36	30	37	20
GPR176	657	471	744	700	763	308
EIF2AK4	465	519	438	600	515	515
SRP14	1683	2167	2191	1881	2414	2019
LOC100131089	19	29	12	24	14	17
BMF	18	42	10	15	6	17
BUB1B	8	66	12	21	6	14
PAK6	447	362	449	494	530	297
C15orf56	0	1	1	0	0	2
ANKRD63	0	0	0	2	1	1
PLCB2	63	50	48	69	65	35
C15orf52	9	3	4	9	7	5
PHGR1	0	0	0	0	0	0
DISP2	1125	742	832	1164	956	925
KNSTRN	171	196	153	188	162	168
IVD	306	269	292	280	322	254
BAHD1	580	637	592	740	677	736
CHST14	9	38	4	14	18	3
MRPL42P5	6	12	21	18	15	14
C15orf57	321	328	342	377	362	343
RPUSD2	88	56	89	60	80	86
CASC5	12	31	5	13	4	8
LOC100505648	10	8	10	13	8	12
RAD51	2	22	1	1	0	1
RMDN3	291	315	289	297	333	289
GCHFR	115	60	66	56	103	66
DNAJC17	48	58	36	50	50	51
C15orf62	5	7	6	5	3	3
ZFYVE19	217	156	139	188	168	149
PPP1R14D	0	0	0	0	0	0
SPINT1	76	60	66	93	130	142
RHOV	36	34	41	50	52	52
VPS18	514	472	531	450	560	540
DLL4	52	87	88	70	63	90
CHAC1	347	166	221	163	256	195
INO80	179	223	161	233	190	203
EXD1	1	1	1	1	4	0
CHP1	1385	1138	1276	1412	1559	1319
OIP5-AS1	189	283	267	265	292	222
OIP5	1	8	2	0	1	0
NUSAP1	3	118	16	18	14	12
NDUFAF1	246	186	239	191	239	217
RTF1	925	1217	1150	1380	1175	1206
ITPKA	33	23	35	29	24	13
LTK	2	1	0	1	0	0
RPAP1	395	331	287	407	363	326
TYRO3	738	439	483	547	530	273
MGA	276	447	314	454	417	395
MIR626	0	0	0	0	0	0
MAPKBP1	344	533	419	589	437	504
JMJD7-PLA2G4B	0	0	0	0	0	0
JMJD7	37	35	31	33	23	37
PLA2G4B	1	0	0	1	0	0
SPTBN5	7	2	1	4	1	4
MIR4310	0	0	0	0	0	0
EHD4	88	59	39	55	33	56
PLA2G4E	0	0	0	0	0	0
PLA2G4D	2	1	0	1	1	2
PLA2G4F	0	0	0	0	1	2
VPS39	811	942	844	1069	1018	1107
MIR627	0	0	0	0	0	0
TMEM87A	267	371	393	334	411	467
GANC	61	52	28	58	29	52
CAPN3	3	10	4	9	1	0
ZFP106	446	631	545	721	638	676
SNAP23	21	33	15	24	18	16
LRRC57	157	161	133	134	152	196
HAUS2	391	365	480	369	434	435
STARD9	70	133	55	116	63	122
CDAN1	113	92	93	102	93	99
TTBK2	447	306	268	743	364	463
UBR1	638	699	681	983	950	704
TMEM62	167	100	133	159	129	146
CCNDBP1	569	455	576	531	605	614
EPB42	0	0	0	0	0	0
TGM5	0	0	0	0	0	1
TGM7	0	0	0	0	0	0
LCMT2	121	148	163	134	158	149
ADAL	195	191	188	218	184	180
ZSCAN29	269	385	401	433	421	429
TUBGCP4	166	161	146	208	164	193
RNU6-28	0	0	0	0	1	0
TP53BP1	1417	1579	1447	2232	1838	1810
MAP1A	10195	6112	7327	8985	9050	7431
PPIP5K1	307	237	237	343	287	253
CKMT1B	120	66	107	96	115	87
STRC	0	0	1	2	0	1
CATSPER2	9	10	4	17	5	7
CKMT1A	86	61	69	44	74	65
CATSPER2P1	5	5	1	2	4	3
PDIA3	1641	2123	2313	2028	2298	2188
ELL3	1	5	0	1	2	2
SERF2	859	908	958	801	874	781
SERF2-C15ORF63	0	0	0	0	0	0
MIR1282	0	1	1	0	0	0
SERINC4	4	6	4	4	3	4
HYPK	0	0	0	0	0	0
MFAP1	493	651	665	563	680	597
WDR76	19	46	14	16	9	5
FRMD5	89	115	96	133	126	92
PIN4P1	0	1	1	1	0	0
CASC4	1298	1597	1622	1911	1765	1615
CTDSPL2	238	373	292	385	295	337
LOC645212	172	181	194	197	179	177
EIF3J	589	898	884	837	856	742
SPG11	456	516	472	676	547	469
PATL2	1	1	0	0	0	0
B2M	1084	236	158	125	207	87
TRIM69	32	21	35	30	41	24
C15orf43	0	0	0	1	0	0
SORD	61	87	71	97	96	100
DUOX2	8	3	0	1	1	0
DUOXA2	0	0	2	0	0	0
DUOXA1	0	1	0	0	0	1
DUOX1	2	0	0	0	0	0
SHF	555	697	747	822	713	699
SLC28A2	0	0	0	0	0	0
GATM	138	156	88	133	126	65
GATM-AS1	0	1	0	3	3	0
SPATA5L1	76	113	97	129	124	99
C15orf48	3	2	0	0	1	0
MIR147B	0	0	0	0	0	0
SLC30A4	128	96	83	157	99	109
HMGN2P46	1	1	0	1	0	0
BLOC1S6	827	947	960	955	1035	880
SQRDL	7	10	10	7	9	0
SEMA6D	1450	1745	2240	2438	2240	1654
SLC24A5	1	0	0	0	0	0
MYEF2	908	1057	970	1141	900	992
CTXN2	72	48	92	84	81	48
SLC12A1	7	7	14	15	8	9
DUT	554	451	434	557	503	476
FBN1	91	145	102	167	119	105
CEP152	5	18	6	10	5	11
SHC4	227	147	217	252	276	256
EID1	1941	2394	2517	2285	2742	2058
SECISBP2L	958	1124	1066	1400	1284	1258
COPS2	698	926	924	858	991	924
GALK2	112	121	91	93	98	85
NDUFAF4P1	0	0	0	0	0	0
MIR4716	0	0	0	0	0	0
FAM227B	4	9	0	7	11	2
FGF7	0	1	1	0	0	0
DTWD1	55	57	32	65	50	29
ATP8B4	3	1	4	4	2	3
SLC27A2	18	20	23	13	11	22
HDC	0	0	0	0	0	0
GABPB1	158	231	200	190	225	217
FLJ10038	280	464	403	447	449	434
GABPB1-AS1	81	122	111	103	78	122
MIR4712	1	0	0	1	0	0
USP8	496	456	402	445	498	391
USP50	0	0	0	0	0	0
TRPM7	138	182	116	228	168	150
SPPL2A	60	66	61	86	48	45
AP4E1	123	131	131	132	146	98
DCAF13P3	0	3	1	1	1	3
TNFAIP8L3	34	10	16	18	14	10
CYP19A1	3	3	1	0	0	1
MIR4713	0	0	0	0	0	0
GLDN	20	17	9	9	14	8
DMXL2	1293	1425	1470	2274	1856	1495
SCG3	3419	3339	3815	3592	4514	3164
LYSMD2	240	95	166	172	219	153
TMOD2	6338	5540	6304	9192	8012	6113
TMOD3	408	509	401	537	462	491
LEO1	302	397	372	322	376	280
MAPK6	1285	1795	1808	2053	2141	1575
BCL2L10	3	3	1	2	3	0
GNB5	1058	742	887	969	941	889
MYO5C	5	18	7	13	6	13
MIR1266	0	0	0	0	0	0
MYO5A	5874	5177	5633	9150	7406	6402
ARPP19	2668	2939	3362	3164	3501	2561
FAM214A	271	401	435	440	470	394
ONECUT1	170	168	136	475	349	421
WDR72	15	8	9	18	15	9
UNC13C	13	28	63	32	29	5
RSL24D1	611	654	559	599	586	507
RAB27A	13	30	7	5	10	15
PIGB	45	34	48	36	46	38
CCPG1	179	192	194	218	217	147
DYX1C1-CCPG1	0	0	0	0	0	0
MIR628	1	0	0	2	1	1
FLJ27352	29	51	41	45	58	47
DYX1C1	8	9	8	13	11	9
PYGO1	90	105	86	205	106	97
PRTG	62	139	64	98	84	79
NEDD4	93	83	42	86	49	69
RFX7	373	548	424	769	588	530
TEX9	7	16	11	8	11	15
MNS1	1	8	2	2	1	3
ZNF280D	91	175	167	177	179	145
LOC145783	73	60	78	94	57	54
TCF12	125	336	117	226	186	156
LOC283663	1	1	2	2	1	0
CGNL1	30	39	28	32	37	33
GCOM1	0	0	0	0	0	0
MYZAP	12	1	3	3	2	1
POLR2M	110	56	56	95	91	68
ALDH1A2	9	19	12	3	9	3
AQP9	0	0	0	0	0	0
LIPC	0	0	0	0	0	0
ADAM10	361	645	539	645	611	650
HSP90AB4P	0	0	4	1	0	3
FAM63B	319	324	225	593	356	403
SLTM	481	735	627	665	647	580
RNF111	492	645	633	800	777	762
CCNB2	0	34	0	5	1	0
MYO1E	24	24	2	7	16	4
MIR2116	0	0	0	0	0	0
LDHAL6B	0	1	0	0	0	1
FAM81A	132	120	178	133	210	103
GCNT3	0	2	2	3	0	3
GTF2A2	484	614	698	538	745	602
BNIP2	60	125	65	76	78	84
FOXB1	0	0	0	0	0	0
ANXA2	1750	887	791	769	1121	1454
NARG2	134	171	131	153	148	136
RORA	344	241	261	457	290	256
VPS13C	609	559	484	805	613	607
C2CD4A	0	2	0	3	0	3
C2CD4B	1	0	0	0	0	0
MGC15885	1	0	0	2	1	0
TLN2	1172	767	937	1164	1167	990
MIR190A	0	0	0	0	0	0
TPM1	1210	1660	1521	1784	1869	1731
LACTB	139	162	164	161	196	163
RPS27L	102	132	92	103	80	80
RAB8B	765	964	1000	1063	1074	831
APH1B	196	182	172	177	201	188
CA12	14	16	7	22	9	9
USP3	254	470	443	439	423	452
LOC100130855	12	8	12	10	11	9
FBXL22	10	5	3	9	7	7
HERC1	1430	1755	1884	2686	2170	1954
DAPK2	9	23	17	17	16	13
FAM96A	80	131	97	80	125	94
SNX1	327	462	352	410	384	338
SNX22	60	77	72	92	66	70
PPIB	1324	1305	1265	1218	1318	1171
CSNK1G1	349	498	476	599	516	626
KIAA0101	5	46	2	4	2	0
TRIP4	141	198	194	177	175	191
ZNF609	655	1056	836	1402	1073	1247
OAZ2	1377	1478	1537	1579	1579	1727
RBPMS2	51	22	32	34	20	13
MIR1272	0	0	0	0	0	0
PIF1	0	4	3	2	5	0
PLEKHO2	29	69	35	47	35	65
ANKDD1A	97	87	77	121	102	100
SPG21	478	754	788	641	693	629
MTFMT	143	123	141	111	148	110
SLC51B	0	2	8	3	5	1
RASL12	0	0	0	1	1	0
KBTBD13	0	0	0	0	0	0
UBAP1L	29	16	19	31	12	21
PDCD7	180	234	186	213	176	176
CLPX	305	348	357	350	335	386
CILP	15	12	7	12	6	14
PARP16	88	95	97	86	90	85
IGDCC3	240	816	689	545	542	492
IGDCC4	260	297	190	303	253	298
DPP8	267	173	145	274	189	237
PTPLAD1	3198	3498	3721	3878	4233	3533
VWA9	215	221	206	195	222	222
SLC24A1	9	13	7	13	8	4
DENND4A	242	227	233	323	249	197
MIR4511	0	0	0	0	0	0
RAB11A	2738	3077	3359	3531	3929	3495
MEGF11	207	91	160	110	128	19
MIR4311	0	0	0	0	0	0
DIS3L	471	406	428	444	511	418
TIPIN	17	20	16	14	14	21
SCARNA14	0	0	0	0	0	0
MAP2K1	1473	679	820	830	996	749
SNAPC5	69	85	68	62	69	70
RPL4	3103	4652	4150	3622	4224	4322
SNORD18C	0	0	0	0	0	0
SNORD18B	0	0	0	0	0	0
SNORD16	0	3	0	0	2	0
SNORD18A	0	0	0	0	0	0
ZWILCH	191	294	183	287	299	325
LCTL	0	1	0	1	0	0
SMAD6	33	2	0	0	1	0
SMAD3	36	99	52	65	53	132
AAGAB	931	905	1087	951	1019	752
IQCH	50	47	39	48	40	23
IQCH-AS1	19	22	15	32	39	41
C15orf61	115	75	74	80	130	78
MAP2K5	217	286	261	310	266	301
SKOR1	9	17	16	16	25	20
PIAS1	302	346	299	459	326	385
CALML4	22	32	21	35	29	21
CLN6	172	161	136	145	132	186
FEM1B	697	649	627	984	757	629
ITGA11	2	16	6	22	8	3
CORO2B	895	843	911	1070	1004	1016
ANP32A	789	1222	949	907	959	997
MIR4312	0	0	0	0	0	0
ANP32A-IT1	1	0	0	1	0	1
MIR548H4	0	0	0	1	2	1
SPESP1	0	0	1	3	0	1
NOX5	0	0	0	0	0	0
LINC00277	2	1	1	1	0	0
GLCE	91	244	169	204	163	136
PAQR5	1	2	1	6	1	3
KIF23	5	51	6	18	6	2
RPLP1	1286	1164	1164	1038	1184	1223
LOC145837	23	15	16	15	15	20
LINC00593	0	0	0	0	0	0
TLE3	427	552	540	634	581	758
MIR629	0	0	0	0	0	0
UACA	11	52	7	20	18	11
LARP6	557	502	617	581	599	524
THAP10	139	110	114	115	131	89
LRRC49	559	613	626	731	771	595
CT62	0	0	0	0	0	0
THSD4	10	25	4	11	12	24
NR2E3	0	0	0	0	0	0
MYO9A	407	319	320	616	437	514
SENP8	50	43	33	54	46	38
GRAMD2	1	2	3	4	4	2
PKM	10485	6833	6629	6711	8579	7370
PARP6	2273	2227	2516	2661	2703	2481
CELF6	459	482	338	566	419	275
HEXA	434	287	195	285	285	274
HEXA-AS1	1	0	3	1	1	3
TMEM202	0	0	0	0	0	0
ARIH1	926	1211	1016	1371	1183	1240
MIR630	4	8	7	7	3	9
GOLGA6B	0	0	0	0	1	0
HIGD2B	1	0	1	0	0	0
BBS4	304	321	240	313	312	292
ADPGK	321	261	261	242	317	246
ADPGK-AS1	0	2	0	0	1	2
NEO1	1529	2789	2705	3427	3428	3455
HCN4	451	509	630	712	599	543
C15orf60	0	0	0	0	0	0
NPTN	2557	2271	2533	2672	3000	2199
CD276	699	897	750	929	848	970
C15orf59	439	384	400	395	354	362
TBC1D21	0	0	0	0	0	0
LOXL1-AS1	75	112	75	87	86	70
LOXL1	376	516	374	379	286	275
STOML1	450	302	334	353	365	360
PML	224	299	257	265	273	318
GOLGA6A	0	0	0	0	0	0
LOC283731	70	76	79	78	88	72
ISLR2	2591	2222	2678	3218	2512	1241
ISLR	1	0	4	0	1	0
STRA6	100	72	17	54	39	25
CCDC33	6	1	2	9	2	5
CYP11A1	12	9	3	6	14	16
LOC729739	0	1	0	0	0	1
SEMA7A	366	316	283	372	371	402
UBL7	423	413	462	396	475	446
LOC440288	7	17	7	15	14	3
ARID3B	267	365	457	422	416	545
CLK3	210	318	261	250	283	274
EDC3	397	499	433	495	513	497
CYP1A1	33	20	21	22	19	12
CYP1A2	0	1	0	0	0	0
CSK	705	803	902	801	899	885
MIR4513	0	0	0	0	0	0
LMAN1L	0	0	0	0	0	0
CPLX3	15	26	1	4	2	1
ULK3	391	324	210	376	236	263
SCAMP2	73	81	49	62	57	71
MPI	335	194	196	207	214	239
FAM219B	932	844	818	980	852	923
COX5A	1418	1181	1514	1283	1608	1351
RPP25	164	141	177	92	134	91
SCAMP5	4298	3484	4133	4492	4932	3731
PPCDC	31	34	23	28	32	39
C15orf39	198	157	187	193	159	154
GOLGA6C	0	0	1	0	1	0
GOLGA6D	0	0	0	0	0	0
COMMD4	174	129	141	104	141	108
NEIL1	36	21	10	26	14	19
MIR631	0	0	0	1	0	0
MAN2C1	243	321	169	264	141	215
SIN3A	387	639	553	696	612	689
PTPN9	1296	1236	1331	1415	1480	1589
SNUPN	175	146	160	132	167	165
IMP3	381	246	349	262	350	280
SNX33	11	50	13	25	6	25
CSPG4	5	34	2	20	3	3
ODF3L1	6	0	0	2	2	5
DNM1P35	34	15	20	12	18	21
MIR4313	0	0	0	0	0	0
UBE2Q2	443	562	562	567	593	640
FBXO22	321	248	301	301	337	272
FBXO22-AS1	1	0	0	0	0	0
NRG4	7	4	1	7	5	3
C15orf27	145	100	142	171	154	117
ETFA	515	589	601	542	601	642
TYRO3P	1	0	0	0	0	0
ISL2	194	77	140	138	281	700
SCAPER	792	911	949	1118	1087	961
RCN2	1218	1190	1269	1144	1398	769
PSTPIP1	4	5	2	4	1	1
TSPAN3	3602	3699	4172	3659	4380	3487
PEAK1	185	271	290	498	497	1137
LINC00597	0	1	0	0	0	4
HMG20A	430	597	577	654	623	703
LINGO1	2367	2192	2439	2897	2958	2887
LOC253044	0	0	1	0	0	0
LOC645752	2	0	1	1	1	2
LOC91450	0	0	1	1	0	1
TBC1D2B	167	156	113	174	141	168
MIR5003	0	0	0	0	0	0
SH2D7	0	0	0	0	0	0
CIB2	645	555	693	656	760	669
IDH3A	1005	589	908	795	1003	652
ACSBG1	1	2	2	4	1	5
DNAJA4	263	336	308	402	609	381
WDR61	330	247	275	257	247	247
CRABP1	985	1118	886	800	580	167
IREB2	900	990	977	1170	1037	1121
AGPHD1	1	2	2	1	1	2
PSMA4	1031	1394	1460	1192	1445	1202
CHRNA5	55	170	136	133	103	87
CHRNA3	955	576	710	703	689	534
CHRNB4	248	125	101	130	79	80
LOC646938	0	0	0	0	0	0
ADAMTS7	41	122	46	105	59	124
MORF4L1	1740	2302	2462	2215	2337	1584
CTSH	30	26	27	37	25	37
RASGRF1	1363	1019	1525	1534	1481	752
LOC729911	2	3	0	3	0	4
MIR184	0	0	0	0	0	0
ANKRD34C	30	9	5	19	27	3
TMED3	979	543	663	606	738	598
KIAA1024	535	414	649	730	598	628
MTHFS	5	0	1	1	1	5
ST20-MTHFS	0	0	0	1	0	0
ST20	74	60	72	62	62	51
C15orf37	45	45	44	62	58	45
BCL2A1	0	0	1	0	0	0
ZFAND6	520	672	507	572	588	619
FAH	91	46	60	56	68	50
LOC283688	0	0	0	0	0	0
ARNT2	2150	2333	2618	3073	3121	2649
FAM108C1	335	369	535	391	520	459
KIAA1199	85	38	70	69	69	65
MIR549	0	0	0	0	0	0
MESDC2	352	347	376	297	364	297
MIR4514	0	0	0	0	0	0
MESDC1	316	348	369	371	380	328
C15orf26	0	0	0	0	1	0
IL16	1	0	4	5	3	1
STARD5	6	8	2	2	8	9
TMC3	65	22	16	42	15	14
MEX3B	218	430	365	421	386	481
EFTUD1	165	204	154	210	198	173
FAM154B	6	6	11	14	9	4
LOC390660	0	0	0	0	0	0
GOLGA6L10	0	0	0	0	0	0
UBE2Q2P3	0	0	0	0	0	0
UBE2Q2P2	0	0	0	0	0	0
GOLGA6L9	0	0	0	0	0	0
LOC440297	0	0	0	0	0	0
LOC727849	0	0	0	0	0	0
AGSK1	0	0	0	0	0	0
RPS17L	0	0	0	0	0	0
RPS17	0	0	0	0	0	0
CPEB1	154	131	154	154	108	101
LOC283692	5	2	0	1	3	1
AP3B2	1143	1239	1302	1392	1349	1321
LOC338963	0	0	0	0	0	0
LOC283693	0	1	2	0	0	0
SCARNA15	0	1	0	0	0	0
FSD2	0	0	1	0	0	0
WHAMM	63	64	64	69	50	57
HOMER2	349	240	277	346	336	328
FAM103A1	92	104	136	106	123	110
C15orf40	56	62	62	64	62	54
BTBD1	1218	1389	1568	1579	1850	1533
MIR4515	0	0	0	0	0	0
TM6SF1	12	16	13	9	12	7
HDGFRP3	1396	1778	1763	2153	2096	1701
BNC1	2	1	1	1	2	7
SH3GL3	370	471	510	538	518	345
ADAMTSL3	8	3	5	11	8	5
EFTUD1P1	1	0	2	0	0	0
LOC100505679	2	0	2	3	2	2
LOC440300	7	4	1	4	4	3
LOC388152	29	35	35	31	23	26
LOC642423	0	2	0	1	1	2
GOLGA6L4	0	0	1	0	1	0
DNM1P41	0	0	0	0	0	0
GOLGA6L5	2	2	1	5	2	9
UBE2Q2P1	10	10	5	10	8	5
LOC100506874	1	0	1	0	0	1
ZSCAN2	137	249	210	233	207	257
SCAND2P	40	30	35	37	30	42
WDR73	147	164	174	145	149	137
NMB	41	19	19	31	27	33
SEC11A	594	728	637	571	745	652
ZNF592	591	537	584	623	600	589
ALPK3	279	91	50	140	95	133
SLC28A1	0	2	0	1	0	0
PDE8A	70	94	54	87	67	57
AKAP13	388	574	375	723	535	596
KLHL25	119	142	141	182	120	128
MIR1276	0	0	0	0	0	0
AGBL1	0	0	0	1	0	0
LOC727915	0	0	0	0	0	1
LINC00052	0	1	0	0	0	0
NTRK3	147	113	78	135	81	114
NTRK3-AS1	0	0	0	0	0	0
MRPL46	172	167	192	153	161	188
MRPS11	328	366	419	304	396	384
DET1	79	122	116	127	116	105
MIR1179	0	0	0	0	0	0
MIR7-2	0	0	0	0	0	0
MIR3529	0	0	0	0	0	0
AEN	110	94	85	73	97	66
ISG20	0	1	0	0	3	1
ACAN	14	6	12	12	19	4
HAPLN3	15	9	10	24	10	3
MFGE8	111	189	74	81	80	23
ABHD2	1368	1251	1384	1754	1485	1779
RLBP1	1	0	1	0	0	0
FANCI	18	103	16	27	21	28
POLG	172	222	172	196	171	218
MIR9-3	0	0	0	0	0	0
LOC254559	21	33	7	23	13	19
RHCG	0	0	0	0	0	0
LOC283761	0	0	0	0	0	0
TICRR	2	10	1	2	0	0
KIF7	166	90	107	96	111	106
PLIN1	0	1	1	1	2	0
PEX11A	74	83	89	99	112	51
WDR93	1	3	0	0	3	0
MESP1	163	57	68	62	95	53
MESP2	0	3	2	3	3	4
ANPEP	0	2	2	0	1	0
AP3S2	6	3	4	5	10	13
C15orf38-AP3S2	0	0	0	0	0	0
MIR5094	0	0	0	0	0	0
C15orf38	69	54	37	55	57	55
ZNF710	208	284	250	249	301	284
IDH2	681	818	702	826	824	919
SEMA4B	206	267	274	297	291	304
CIB1	97	85	75	81	47	65
GDPGP1	29	21	32	24	25	26
TTLL13	2	3	1	0	3	2
NGRN	4771	4933	5938	5274	6526	4940
GABARAPL3	1	1	0	0	0	0
ZNF774	45	48	47	46	56	39
IQGAP1	119	219	121	170	128	114
CRTC3	199	290	195	296	290	280
BLM	16	37	9	12	14	8
FURIN	340	271	248	369	276	278
FES	10	2	2	2	1	0
MAN2A2	457	402	295	493	287	376
UNC45A	294	343	363	292	358	379
HDDC3	71	69	73	55	77	49
RCCD1	136	88	90	125	117	138
PRC1	109	167	107	114	144	178
LOC100507118	0	3	0	1	2	0
VPS33B	359	351	377	351	384	388
SV2B	1156	801	855	1177	980	1307
SLCO3A1	444	289	389	388	380	285
ST8SIA2	1491	1803	1611	2584	2083	1701
C15orf32	0	0	0	2	1	2
LOC100144604	0	0	1	0	0	3
FAM174B	325	252	263	241	306	184
ASB9P1	0	0	1	0	0	0
LOC100507217	705	840	834	705	713	725
CHD2	765	1083	929	1245	1032	1021
MIR3175	0	0	0	0	0	0
RGMA	513	1000	1586	1388	1062	520
MCTP2	2	4	6	2	4	3
LOC440311	5	3	2	3	4	6
LOC400456	8	3	2	7	9	2
LOC145820	0	0	1	1	0	0
NR2F2	7	226	33	57	32	24
MIR1469	0	0	0	0	0	0
SPATA8	2	4	0	0	0	3
LOC91948	0	0	0	0	0	0
ARRDC4	342	829	697	786	698	958
FAM169B	0	0	0	0	0	0
IGF1R	819	1357	1168	1819	1294	1402
MIR4714	0	0	0	0	0	0
PGPEP1L	0	0	0	0	0	0
SYNM	679	546	662	714	786	650
TTC23	48	67	69	74	67	54
LRRC28	129	136	153	147	163	133
HSP90B2P	22	20	21	22	22	24
MEF2A	588	717	700	897	813	844
LYSMD4	88	83	116	107	110	83
DNM1P46	3	1	1	6	1	1
ADAMTS17	1	9	4	13	9	10
FLJ42289	4	2	2	7	3	4
CERS3	0	1	0	0	0	0
PRKXP1	17	19	9	21	13	22
LINS	70	78	93	117	72	78
ASB7	95	159	175	175	151	187
ALDH1A3	4	1	5	5	3	3
LRRK1	18	5	24	18	23	11
CHSY1	182	337	228	265	277	295
VIMP	258	294	315	278	326	323
SNRPA1	99	140	98	121	100	114
PCSK6	60	34	27	43	31	37
LOC100507472	2	1	0	0	1	0
TM2D3	774	671	800	703	801	625
TARSL2	334	290	302	320	373	213
OR4F6	0	0	0	0	0	0
OR4F15	0	0	0	0	0	0
OR4F13P	0	0	0	0	0	0
OR4F4	0	0	0	0	0	0
FAM138E	0	0	0	0	0	0
WASH3P	13	23	17	15	17	24
DDX11L9	0	0	0	0	0	0
DDX11L10	0	0	0	0	0	0
POLR3K	118	91	84	87	87	76
SNRNP25	394	327	376	295	481	345
RHBDF1	39	35	9	26	10	21
MPG	278	175	131	175	155	187
NPRL3	530	391	404	422	392	482
HBZ	2	1	0	1	1	1
HBM	0	0	0	0	1	0
HBA2	0	0	0	0	0	0
HBA1	5	0	0	0	2	1
HBQ1	36	19	21	20	22	14
LUC7L	287	444	355	396	408	368
ITFG3	777	498	585	578	586	593
RGS11	226	121	48	170	81	81
ARHGDIG	867	487	534	605	647	584
PDIA2	136	178	39	187	47	36
AXIN1	252	230	234	215	210	254
MRPL28	607	423	511	484	522	427
TMEM8A	660	453	393	476	500	450
LOC100134368	1	0	0	1	1	0
NME4	72	116	72	86	74	113
DECR2	78	69	64	63	60	69
RAB11FIP3	758	742	710	786	763	706
LINC00235	2	1	0	0	0	0
SOLH	269	181	135	198	160	163
MIR5587	0	0	0	2	0	0
MIR3176	0	0	0	0	0	1
C16orf11	0	2	0	0	0	0
NHLRC4	12	4	3	2	3	5
PIGQ	614	383	298	413	316	352
RAB40C	428	382	432	488	450	444
WFIKKN1	7	36	6	10	10	4
C16orf13	447	293	294	296	285	334
FAM195A	138	62	87	115	84	103
WDR90	48	56	28	63	27	26
RHOT2	305	353	245	318	288	290
RHBDL1	84	31	16	30	18	15
STUB1	771	705	762	638	690	695
JMJD8	268	218	211	200	213	212
WDR24	118	140	67	84	85	94
FBXL16	1428	974	1106	1379	1218	1327
METRN	61	67	44	33	38	21
