MIC_E3	MIC_E3	MIC_E3	MIC_E3	MIC_E4	MIC_E4	MIC_E4	MIC_E4
APBB1	359	592	638	357	326	132	120	108
HPX	15	138	121	87	35	6	6	1
TRIM3	446	396	400	512	338	341	473	467
ARFIP2	652	1037	924	766	764	524	590	599
TIMM10B	1424	1321	1479	1348	1122	1397	1715	1569
DNHD1	71	67	69	117	24	61	156	151
RRP8	288	274	268	333	326	251	334	311
ILK	6776	4490	4369	6073	5335	4682	4882	5004
TAF10	1438	1522	1424	1542	1761	1158	1437	1596
TPP1	25104	19797	23484	28672	16167	27222	35074	38106
DCHS1	1061	2391	2392	1063	551	370	80	106
MRPL17	1088	1237	1050	1187	1201	695	686	775
GVINP1	706	220	286	874	80	370	488	718
OR2AG2	0	0	3	0	0	0	0	2
OR2AG1	0	0	0	0	0	0	0	0
OR6A2	0	0	0	0	0	0	0	0
OR10A5	0	0	0	0	0	0	0	0
OR10A2	0	0	0	0	0	0	0	0
OR10A4	0	0	0	0	0	0	0	0
OR2D2	0	0	0	0	0	0	0	0
OR2D3	0	0	0	0	0	0	0	0
ZNF215	21	10	18	16	17	11	12	14
ZNF214	20	16	24	21	16	13	19	8
NLRP14	0	0	5	0	1	0	1	0
RBMXL2	0	0	0	0	0	0	0	0
SYT9	32	26	71	26	5	0	2	0
OLFML1	172	528	414	129	219	90	0	0
PPFIBP2	2080	1123	1089	1943	1183	1710	2129	1974
CYB5R2	180	360	224	279	145	41	24	24
OVCH2	0	0	0	0	0	0	0	0
OR5P2	0	0	0	0	0	0	0	0
OR5P3	0	0	0	0	0	0	0	0
OR5E1P	0	0	0	0	0	0	0	0
LOC283299	0	0	0	0	0	0	0	0
OR10A6	0	0	0	0	0	0	0	0
OR10A3	0	0	0	0	0	0	0	0
NLRP10	0	0	2	6	4	1	0	0
EIF3F	3171	3626	3428	3227	4207	3201	3120	3012
TUB	146	469	430	198	58	36	5	0
RIC3	44	56	49	82	53	51	86	56
LMO1	0	1	9	3	1	0	0	0
STK33	27	37	62	19	17	1	0	0
TRIM66	212	165	177	273	61	138	293	281
RPL27A	9658	13223	13981	10506	13902	10628	8846	9987
SNORA3	6	10	13	5	8	2	7	12
SNORA45	3	5	3	3	1	2	3	0
ST5	1396	1581	1466	1461	835	801	868	1175
AKIP1	757	614	584	662	732	544	724	643
C11orf16	0	0	0	0	0	0	0	0
ASCL3	0	0	0	0	0	0	0	0
TMEM9B	2937	2299	2396	2433	3041	3538	3455	3428
TMEM9B-AS1	58	38	26	40	26	27	33	40
NRIP3	348	201	221	317	143	378	289	158
SCUBE2	50	91	96	31	13	17	35	36
MIR5691	0	0	0	0	0	0	0	0
KRT8P41	0	0	0	0	0	0	0	0
DENND5A	4870	3263	3349	4164	2006	3213	3294	3111
TMEM41B	1590	1310	1436	1320	803	1509	1333	1340
IPO7	5498	4657	5933	6680	2374	5805	6006	6258
SNORA23	0	0	0	1	0	0	0	0
LOC644656	18	4	10	9	23	2	12	22
ZNF143	532	369	434	496	233	374	524	499
WEE1	823	770	917	645	466	209	138	95
SWAP70	6329	3531	4633	5919	3075	7599	7789	7080
LOC440028	4	13	10	11	3	4	0	0
SBF2-AS1	136	75	78	153	70	107	95	118
SBF2	2094	1533	1617	2029	827	2413	3777	2946
ADM	343	201	153	188	624	172	119	48
AMPD3	11386	4385	4945	8355	4471	7198	7922	9136
MTRNR2L8	28	22	14	25	23	18	40	44
MIR4485	0	0	0	0	0	0	0	0
RNF141	1206	1062	1088	1072	994	1220	1221	1119
MRVI1-AS1	1	3	3	0	0	0	0	3
LYVE1	454	771	308	120	542	79	552	826
MRVI1	298	567	379	339	219	71	73	103
CTR9	2436	1988	2191	2305	1151	2019	2462	2724
EIF4G2	25924	27047	31636	28409	13870	20662	21098	20546
SNORD97	2	1	1	13	0	0	5	5
ZBED5	701	734	797	797	478	572	560	638
LOC729013	301	221	275	288	227	222	335	359
GALNT18	56	94	97	101	112	85	125	72
CSNK2A3	7	20	27	15	10	23	23	9
MIR4299	0	0	0	0	0	0	0	0
USP47	2382	2079	2462	2211	1261	1970	1972	2012
DKK3	213	513	704	276	212	120	156	87
MICAL2	1114	598	608	1126	330	1102	1095	1984
MICALCL	33	3	11	23	1	36	62	88
PARVA	1431	2612	2454	2154	1048	570	752	971
TEAD1	1227	2354	2703	1933	433	462	109	78
LOC100506305	0	0	0	0	0	0	0	0
RASSF10	1	4	15	0	0	0	0	0
ARNTL	350	253	291	386	152	292	352	477
BTBD10	1132	905	1071	930	865	1124	973	955
PTH	0	0	0	0	0	0	0	0
FAR1	2647	1929	2295	2564	1281	2661	2227	2057
SPON1	949	3893	3063	1792	346	217	102	0
RRAS2	161	247	255	202	197	73	23	12
COPB1	5706	5319	5610	5308	4271	5336	4485	4139
PSMA1	2907	2617	2952	3085	3306	2950	2603	2584
PDE3B	726	376	423	728	164	523	754	955
CYP2R1	155	151	127	159	112	131	143	102
CALCA	0	0	0	0	0	0	0	0
CALCB	0	1	2	0	0	0	0	0
INSC	0	0	0	0	0	0	1	0
SOX6	51	365	260	261	26	34	3	0
C11orf58	3886	3611	3949	3904	3094	3897	3418	3689
PLEKHA7	61	65	82	60	34	28	26	70
OR7E14P	4	1	6	0	0	1	0	0
RPS13	5249	6817	7186	6095	9257	6982	5377	5291
PIK3C2A	1862	1513	1804	2295	526	1997	2107	2440
NUCB2	1298	2360	2174	1518	1113	590	355	342
NCR3LG1	278	259	310	386	35	338	228	224
KCNJ11	11	20	17	15	4	29	13	20
ABCC8	0	0	3	1	0	0	0	0
USH1C	0	2	2	1	0	0	0	0
MYOD1	0	1	70	177	0	0	0	0
KCNC1	13	27	53	18	2	3	0	0
SERGEF	313	268	291	261	341	279	271	279
TPH1	0	1	3	0	0	0	0	2
SAAL1	293	243	292	280	236	207	245	174
SAA3P	0	0	0	0	0	0	0	0
MRGPRX3	0	0	0	0	0	0	0	0
MRGPRX4	0	0	0	0	0	0	0	0
LOC494141	0	0	0	0	0	0	0	0
SAA2-SAA4	0	0	0	0	0	0	0	0
SAA4	0	0	0	0	0	0	0	0
SAA2	0	0	2	0	0	0	0	0
SAA1	16	4	8	6	22	10	2	24
HPS5	2005	1297	1461	1564	1110	1712	1483	1570
GTF2H1	1734	1311	1470	1656	1123	1438	1499	1633
LDHA	10069	7281	8404	9124	6634	5657	4623	4006
LDHC	0	0	2	0	0	0	0	0
LDHAL6A	0	0	0	0	0	1	0	0
TSG101	1294	1103	1187	1281	1263	1290	1183	1297
UEVLD	819	524	626	753	303	815	844	913
SPTY2D1-AS1	17	7	4	3	5	40	7	12
SPTY2D1	1911	1463	1673	1896	992	2035	1707	1796
TMEM86A	4625	2536	2846	3748	3342	3485	4280	4549
IGSF22	3	0	3	1	4	6	6	1
PTPN5	1	4	6	0	1	0	0	0
MRGPRX1	0	0	0	0	0	0	0	0
MRGPRX2	0	0	0	0	0	1	0	0
ZDHHC13	253	208	211	256	142	180	190	203
CSRP3	0	0	3	6	0	0	0	0
E2F8	318	263	236	412	76	5	21	10
NAV2	480	1090	1213	708	159	127	172	179
NAV2-AS5	0	0	0	0	0	0	0	0
NAV2-AS4	0	0	0	0	0	0	0	0
MIR4486	0	0	0	0	0	0	0	0
LOC100126784	10	15	7	2	2	0	0	0
MIR4694	0	0	0	0	0	0	0	0
DBX1	0	0	1	0	0	0	0	0
HTATIP2	1391	542	649	995	1122	1169	1066	1266
PRMT3	360	349	376	427	261	395	313	370
SLC6A5	0	0	4	0	0	0	0	0
NELL1	39	8	23	168	54	56	9	0
ANO5	186	149	206	316	104	207	280	312
SLC17A6	0	1	35	0	0	0	0	0
FANCF	187	236	293	194	163	169	158	144
GAS2	7	82	139	7	12	3	0	0
SVIP	239	198	211	228	226	259	239	280
CCDC179	0	0	0	0	0	0	0	0
LUZP2	5	38	68	54	18	8	6	0
ANO3	0	0	2	1	0	0	0	0
MUC15	0	0	0	0	0	0	0	0
SLC5A12	1	6	4	1	0	1	0	0
FIBIN	624	1372	1076	1084	377	58	27	0
BBOX1	2	18	27	5	9	9	0	0
CCDC34	252	240	254	248	113	46	49	39
LGR4	901	1328	1354	989	537	710	781	677
LIN7C	961	951	1087	997	735	1255	1237	1296
BDNF-AS	10	21	17	11	21	12	4	6
BDNF	39	37	56	67	35	22	1	0
KIF18A	217	113	150	197	44	31	28	9
MIR610	0	0	0	0	0	0	0	0
METTL15	257	159	179	214	122	189	211	221
KCNA4	2	14	11	2	0	1	0	0
FSHB	0	0	0	0	0	0	0	0
ARL14EP	564	456	539	659	512	564	619	660
MPPED2	41	51	72	20	24	18	23	23
DCDC5	12	1	6	1	0	1	0	0
DCDC1	0	1	2	4	0	0	3	0
DNAJC24	267	260	294	264	204	222	216	237
IMMP1L	54	72	59	51	78	64	45	34
ELP4	355	288	287	344	261	285	309	466
PAX6	55	24	149	4	2	6	0	0
DKFZp686K1684	2	0	0	0	0	0	0	0
RCN1	1739	4138	3753	2119	1924	776	563	463
WT1	43	7	8	30	5	5	3	0
WT1-AS	0	0	0	0	0	0	0	0
EIF3M	3381	3267	3751	3281	3566	3675	3017	3062
CCDC73	35	0	4	0	4	127	0	0
PRRG4	180	62	94	104	47	73	50	94
QSER1	1338	1329	1666	1725	399	1296	1500	1635
DEPDC7	103	88	89	125	104	111	89	115
TCP11L1	923	771	747	925	415	902	1036	1169
LINC00294	696	478	521	577	418	603	614	628
CSTF3	501	524	613	606	449	439	474	424
CSTF3-AS1	3	3	7	5	3	2	0	1
HIPK3	3477	2721	3108	3960	565	3967	3879	4741
KIAA1549L	104	127	168	85	39	31	0	0
C11orf91	2	1	5	2	0	2	0	0
CD59	18016	12294	13788	14869	18009	18392	16011	14863
FBXO3	445	530	600	458	315	481	509	518
LMO2	1271	843	949	847	1095	1057	957	1314
CAPRIN1	8013	7243	8642	9342	3751	7161	8325	8564
NAT10	1064	918	1152	1140	619	998	1120	1124
ABTB2	54	236	189	104	73	13	9	1
CAT	5	11	16	4	2	9	3	16
ELF5	0	1	1	0	0	0	0	2
EHF	7	0	3	4	0	3	1	2
APIP	1067	616	704	863	1013	993	901	873
PDHX	867	709	863	765	745	818	727	727
MIR1343	0	0	0	0	0	0	0	0
CD44	22103	9084	9785	17487	7114	12724	14050	16715
SLC1A2	100	142	352	25	20	8	13	52
PAMR1	199	701	402	123	476	42	1	0
FJX1	611	463	601	358	485	326	174	103
TRIM44	2809	2416	2803	2970	961	2550	2333	2541
LDLRAD3	462	491	496	540	116	273	266	202
MIR3973	0	0	0	0	0	0	0	0
COMMD9	1887	1508	1646	2029	1882	1799	2081	2152
PRR5L	1124	428	493	871	606	575	475	333
TRAF6	624	562	601	653	355	709	774	692
RAG1	8	13	12	13	13	16	6	7
RAG2	0	0	0	0	0	2	0	0
C11orf74	1	5	16	19	56	48	0	0
LRRC4C	7	20	52	13	9	17	0	0
LOC100507205	0	0	0	0	0	0	0	0
HNRNPKP3	0	0	0	0	0	0	0	0
API5	3486	2533	3119	3247	2145	3837	3387	3148
TTC17	1179	1207	1361	1446	596	967	1254	1418
MIR670	0	0	0	0	0	0	0	0
MIR129-2	0	0	0	0	0	0	0	0
HSD17B12	4140	3210	3842	3354	2733	4728	4528	4312
ALKBH3	492	547	520	406	517	386	396	379
SEC14L1P1	4	13	14	6	7	5	13	9
LOC100507300	0	0	0	0	0	0	0	0
C11orf96	27	49	21	17	68	13	1	0
ACCSL	0	2	0	0	0	0	0	0
ACCS	98	62	41	74	74	58	52	61
EXT2	2772	3044	2923	2656	1682	1922	1730	2001
ALX4	105	530	406	20	346	134	0	1
CD82	1765	1110	1124	1449	1400	951	852	782
TSPAN18	115	1089	780	243	139	67	4	0
TP53I11	1481	1891	1799	2158	1386	2063	3008	2399
LOC221122	0	0	0	0	0	0	0	0
PRDM11	202	513	436	249	69	148	105	119
SYT13	9	27	62	1	7	2	0	0
CHST1	49	80	81	72	65	23	2	0
LOC100507384	0	0	0	0	0	0	0	0
DKFZp779M0652	1	2	0	1	6	3	8	0
SLC35C1	1201	1053	984	936	752	750	745	753
CRY2	693	642	568	604	488	767	664	736
MAPK8IP1	192	439	608	135	187	63	36	15
C11orf94	2	2	2	1	0	2	3	0
PEX16	499	385	332	323	589	361	363	382
GYLTL1B	4	14	8	10	0	0	0	0
PHF21A	943	934	1028	1083	520	781	882	956
CREB3L1	857	4268	3155	1991	886	237	67	10
DGKZ	1720	1536	1446	1860	1165	1256	1682	1848
MIR4688	0	0	0	0	0	0	0	0
MDK	1629	4806	4334	3899	1748	307	147	51
CHRM4	0	5	17	6	2	2	1	6
AMBRA1	1210	1056	1121	1111	616	1003	1059	1381
MIR3160-1	0	0	0	0	0	0	0	0
MIR3160-2	0	0	0	0	0	0	0	0
HARBI1	108	84	90	100	112	93	89	131
ATG13	2408	2465	2475	2330	2082	2076	1935	2315
ARHGAP1	3246	3609	3471	3885	1797	2471	2998	2997
ZNF408	258	285	263	232	246	178	221	241
F2	0	0	0	0	0	0	0	0
CKAP5	5873	3447	4439	5222	1801	3565	4259	4321
MIR5582	0	0	0	0	0	0	0	0
SNORD67	0	1	1	0	0	1	0	2
LRP4-AS1	9	5	1	2	3	4	0	0
LRP4	355	614	637	275	164	155	12	21
C11orf49	405	502	642	361	456	325	337	341
ARFGAP2	2920	2322	2357	2359	2639	2507	2627	2566
PACSIN3	113	324	246	195	84	19	14	5
DDB2	971	579	600	706	891	676	888	921
ACP2	6073	3353	3727	5248	4192	3539	4301	5296
NR1H3	1224	259	248	1177	356	217	494	392
MADD	3049	1924	1997	2678	1405	2193	2614	2830
MYBPC3	12	4	9	11	2	12	24	30
SPI1	13726	7449	7814	10695	12134	11010	14635	16885
SLC39A13	2094	1820	1413	1726	1399	1016	1068	1179
PSMC3	2909	2673	2771	2632	3080	2379	2125	2140
RAPSN	0	1	20	85	5	0	2	4
CELF1	3895	2794	3172	4115	1472	2781	3576	3825
PTPMT1	1146	850	979	1021	1362	1104	984	1096
KBTBD4	488	514	577	438	399	387	337	374
NDUFS3	1136	1182	1176	942	1936	1135	841	817
FAM180B	2	20	16	4	11	1	3	1
C1QTNF4	25	79	59	7	192	14	5	7
MTCH2	3878	3029	3575	3612	3476	3979	3284	3023
AGBL2	1	0	2	1	0	1	0	0
FNBP4	920	751	930	1188	384	692	955	784
NUP160	1366	1264	1394	1587	753	1191	1315	1541
PTPRJ	13365	8246	8802	10342	5049	9388	7784	8127
OR4B1	0	0	0	0	0	0	0	0
OR4X2	0	0	0	0	0	0	0	0
OR4X1	0	0	0	0	0	0	0	0
OR4S1	0	0	0	0	0	0	0	0
OR4C3	0	0	0	0	0	0	0	0
OR4C45	0	0	0	0	0	0	0	0
OR4A47	0	0	0	0	0	0	0	0
TRIM49B	0	0	0	0	0	0	0	0
TRIM64C	0	0	0	0	0	0	0	0
FOLH1	0	0	0	0	0	0	0	0
LOC440040	0	0	0	0	0	0	0	0
OR4C13	0	0	0	0	0	0	0	0
OR4C12	0	0	0	0	0	0	0	0
LOC441601	0	0	0	0	0	0	0	0
LOC646813	0	0	0	0	0	0	0	0
OR4A5	0	0	0	0	0	0	0	0
OR4C46	0	0	0	0	0	0	0	0
TRIM48	0	0	0	0	0	0	0	0
TRIM51HP	0	0	0	0	0	0	0	0
OR4A16	0	0	0	0	0	0	0	0
OR4A15	0	0	0	0	0	0	0	0
OR4C15	0	0	0	0	0	0	0	0
OR4C16	0	0	0	0	0	0	0	0
OR4C11	0	0	0	0	0	0	0	0
OR4P4	0	0	0	0	0	0	0	0
OR4S2	0	0	0	0	0	0	0	0
OR4C6	0	0	0	0	0	0	0	0
OR5D13	0	0	0	0	0	0	0	0
OR5D14	0	0	0	0	0	0	0	0
OR5L1	0	0	0	0	0	0	0	0
OR5D18	0	0	0	0	0	0	0	0
OR5L2	0	0	0	0	0	0	0	0
OR5D16	0	0	0	0	0	0	0	0
TRIM51	0	0	0	0	0	0	0	0
OR5W2	0	0	0	0	0	0	0	0
OR5I1	0	0	0	0	0	0	0	0
OR10AG1	0	0	0	0	0	0	0	0
OR7E5P	0	0	0	0	0	0	0	0
OR5F1	0	0	0	0	0	0	0	0
OR5AS1	0	0	0	0	0	0	0	0
OR8I2	0	0	0	0	0	0	0	0
OR8H2	0	0	0	0	0	0	0	0
OR8H3	0	0	0	0	0	0	0	0
OR8J3	0	0	0	0	0	0	0	0
OR8K5	0	0	0	0	0	0	0	0
OR5J2	0	0	0	0	0	0	0	0
OR5T2	0	0	0	0	0	0	0	0
OR5T3	0	0	0	0	0	0	0	0
OR5T1	0	0	0	0	0	0	0	0
OR8H1	0	0	0	0	0	0	0	0
OR8K3	0	0	0	0	0	0	0	0
OR8K1	0	0	0	0	0	0	0	0
OR8J1	0	0	0	0	0	0	0	0
OR8U8	0	0	0	0	0	0	0	0
OR8U1	0	0	0	0	0	0	0	0
OR5R1	0	0	0	0	0	0	0	0
OR5M9	0	0	0	0	0	0	0	0
OR5M3	0	0	0	0	0	0	0	0
OR5M8	0	0	0	0	0	0	0	0
OR5M11	0	0	0	0	0	0	0	0
OR5M10	0	0	0	0	0	0	0	0
OR5M1	0	0	0	0	0	0	0	0
OR5AP2	0	0	0	0	0	0	0	0
OR5AR1	0	0	0	0	0	0	0	0
OR9G1	0	0	0	0	0	0	0	0
OR9G9	0	0	0	0	0	0	0	0
OR9G4	0	0	0	0	0	0	0	0
OR5AK2	0	0	0	0	0	0	0	0
OR5AK4P	0	0	0	0	0	0	0	0
LRRC55	12	63	191	4	13	4	0	0
APLNR	0	18	26	14	4	0	0	0
TNKS1BP1	888	1557	1346	1079	711	360	253	234
SSRP1	3086	2873	3260	2994	1953	1874	1981	2233
P2RX3	1	0	8	0	0	0	0	0
PRG3	0	0	0	0	0	0	0	0
PRG2	20	19	7	21	20	4	22	3
SLC43A3	5837	2852	3164	5159	3202	3625	3898	3792
RTN4RL2	15	27	29	22	21	2	9	5
SLC43A1	458	439	336	524	430	296	541	609
TIMM10	513	385	407	423	656	409	408	423
SMTNL1	0	0	0	1	0	0	0	0
UBE2L6	2467	2109	2181	2412	2148	2109	2255	2856
SERPING1	1383	1942	1364	1660	1132	449	497	1052
MIR130A	0	0	0	0	0	0	0	0
YPEL4	67	31	42	97	58	111	141	192
CLP1	654	476	482	506	602	586	445	455
ZDHHC5	4056	3321	3607	3730	1991	3463	4010	4150
MED19	260	248	275	274	236	159	250	269
TMX2	1164	1137	1316	1270	1178	1041	1184	1213
TMX2-CTNND1	1	2	3	1	0	1	0	0
C11orf31	2755	2228	2370	2076	3851	2350	1419	1701
BTBD18	0	0	0	0	0	0	0	0
CTNND1	201	147	183	270	22	178	218	304
OR9Q1	0	0	0	0	0	0	0	0
OR6Q1	0	0	0	0	0	0	0	0
OR9I1	0	0	0	0	0	0	0	0
OR9Q2	0	0	0	0	0	0	0	0
OR1S2	0	0	0	0	0	0	0	0
OR1S1	0	0	0	0	0	0	0	0
OR10Q1	0	0	0	0	0	0	0	0
OR10W1	0	0	0	0	0	0	0	0
OR5B17	0	0	0	0	0	0	0	0
OR5B3	0	0	0	0	0	0	0	0
OR5B2	0	0	0	0	0	0	0	0
OR5B12	0	0	0	0	0	0	0	0
OR5B21	0	0	0	0	0	0	0	0
LPXN	1290	1053	1207	2239	1207	2444	2053	2927
ZFP91	3211	2657	3061	3353	1586	2986	2861	2966
ZFP91-CNTF	0	1	0	1	0	1	0	0
CNTF	0	1	3	4	0	1	0	0
GLYAT	0	0	0	0	0	0	0	0
GLYATL2	0	2	5	0	1	0	0	0
GLYATL1	1	1	0	0	0	0	0	0
LOC283194	0	5	0	1	0	3	0	0
FAM111B	888	396	507	758	184	33	36	7
FAM111A	1696	943	1017	1688	426	544	584	698
DTX4	485	437	598	258	200	325	245	163
MPEG1	46048	21051	26127	32825	22065	63069	65031	66222
OR5AN1	0	0	0	0	0	0	0	0
OR5A2	0	0	0	0	0	0	0	0
OR5A1	0	0	0	0	0	0	0	0
OR4D6	0	0	0	0	0	0	0	0
OR4D10	0	0	0	0	0	0	0	0
OR4D11	0	0	0	0	0	0	0	0
OR4D9	0	0	0	0	0	0	0	0
OSBP	2409	2419	2575	2462	1367	2472	2625	2467
MIR3162	0	0	0	0	0	0	0	0
PATL1	2686	2103	2462	2880	1185	2712	3579	2787
OR10V1	0	0	0	0	0	0	0	0
OR10V2P	0	0	0	0	0	0	0	0
STX3	1385	711	939	1463	799	1138	1113	1111
MRPL16	879	741	712	885	968	727	704	746
GIF	0	0	0	0	0	0	0	0
TCN1	316	68	56	262	38	21	4	124
PLAC1L	0	0	0	0	0	0	0	0
MS4A3	0	0	0	0	0	0	0	0
MS4A2	0	0	0	0	0	0	0	0
MS4A6A	9601	5482	6248	7363	10874	7025	7675	7983
MS4A4A	8963	5397	5107	4127	8285	5708	8260	6527
MS4A6E	11	9	1	5	4	12	5	8
MS4A7	52679	27309	32492	49088	36027	44183	41828	52316
MS4A14	48	24	31	93	25	49	120	152
MS4A5	0	0	0	0	0	0	0	0
MS4A1	0	0	0	0	0	0	0	0
MS4A12	0	0	0	0	0	0	0	0
MS4A13	0	0	0	0	0	0	0	0
LINC00301	0	0	0	0	0	0	0	0
MS4A8B	2	0	1	0	0	1	0	0
MS4A15	0	1	0	0	0	0	0	0
MS4A10	0	0	0	0	0	0	0	0
CCDC86	562	526	482	538	498	412	447	508
PTGDR2	0	0	1	1	0	2	0	0
ZP1	0	2	0	0	0	0	0	0
PRPF19	2280	2270	2379	2152	1947	1809	1942	1982
TMEM109	2527	2392	2425	2432	2561	1838	2103	2230
TMEM132A	797	1233	1366	858	883	198	67	26
SLC15A3	16257	8298	8996	11173	18258	15032	19239	16437
CD6	26	6	15	56	24	17	57	80
CD5	14	0	1	1	1	0	2	8
VPS37C	1434	916	845	888	952	868	1033	1094
PGA3	1	1	2	0	3	0	0	0
PGA4	0	0	0	0	0	0	0	0
PGA5	4	11	6	5	13	0	0	2
VWCE	116	59	69	84	175	235	544	718
DDB1	11126	9777	10982	11186	6871	13356	15587	16332
DAK	595	582	579	500	598	465	465	401
CYBASC3	21002	9352	12884	20364	21366	34402	29608	34203
TMEM138	3105	1351	1959	3044	2636	4661	4902	5614
TMEM216	155	209	165	158	143	155	134	167
CPSF7	1884	1923	2192	2216	1051	1614	2041	2018
SDHAF2	915	847	893	881	1029	848	849	900
PPP1R32	9	10	20	9	11	6	28	17
MIR4488	0	0	0	1	0	0	0	0
LRRC10B	1	2	10	4	9	2	0	0
SYT7	210	297	322	65	81	25	15	1
RPLP0P2	224	316	334	65	235	42	2	9
DAGLA	457	433	472	640	234	487	894	818
MYRF	397	720	598	1818	343	190	64	3
DKFZP434K028	0	0	0	0	0	0	0	0
TMEM258	1123	1300	1170	1041	1572	930	661	726
MIR611	0	0	0	0	0	0	0	0
FEN1	1415	1264	1232	1041	1155	327	263	245
FADS1	5976	4626	5389	5258	2292	5824	6483	5899
MIR1908	0	0	0	2	0	0	2	5
FADS2	6792	6392	7217	5056	3773	5331	5656	4092
FADS3	378	420	337	311	307	292	386	355
RAB3IL1	4495	3801	3727	3564	3805	3250	5344	4691
BEST1	752	367	389	530	357	535	733	921
FTH1	529114	240253	284066	452982	411726	346569	435133	437184
INCENP	1692	948	971	1619	472	505	601	737
SCGB1D1	0	0	0	0	0	0	0	0
SCGB2A1	0	0	0	0	0	0	0	0
SCGB1D2	0	0	0	0	0	0	0	0
SCGB2A2	0	0	0	0	0	0	0	0
SCGB1D4	0	0	0	0	0	0	0	0
ASRGL1	291	138	160	235	255	254	289	550
SCGB1A1	0	0	0	0	0	0	0	0
AHNAK	30905	19557	18674	33933	4589	18934	25128	28564
EEF1G	15477	21335	22123	19551	18804	15439	19582	19849
MIR3654	0	0	0	0	0	0	0	0
TUT1	317	335	320	311	342	241	266	268
MTA2	2241	1927	2008	2183	1545	1593	1928	1835
EML3	980	931	822	821	962	655	737	807
ROM1	24	52	21	32	34	23	9	10
B3GAT3	717	523	516	448	716	449	502	581
GANAB	9725	11721	11021	9284	5800	7268	6963	7329
INTS5	1002	893	881	771	736	789	803	947
C11orf48	504	452	556	555	650	402	445	551
METTL12	37	60	45	49	21	21	30	23
SNORA57	0	0	4	1	1	0	1	0
C11orf83	218	244	251	218	392	174	200	207
UBXN1	2224	1920	1981	2409	3135	1934	2171	2350
LRRN4CL	18	45	54	28	35	4	1	0
BSCL2	132	117	110	137	54	78	138	153
HNRNPUL2-BSCL2	0	0	1	0	0	0	1	0
GNG3	5	9	65	0	11	1	0	0
HNRNPUL2	1247	1047	1206	1148	882	1115	1211	1208
TTC9C	312	317	339	373	240	244	350	330
ZBTB3	171	194	131	163	113	185	190	214
POLR2G	932	926	1002	997	1368	905	916	982
TAF6L	494	448	407	444	518	425	434	376
TMEM179B	1193	1190	1135	1435	1509	1058	1550	1597
TMEM223	298	320	339	375	343	304	325	397
NXF1	1341	1073	1030	1309	886	830	1481	1088
STX5	1045	1258	1153	995	939	919	1045	1149
WDR74	314	333	322	261	346	226	265	318
SNHG1	203	264	287	264	135	100	139	121
SNORD22	3	4	3	1	2	2	3	1
SNORD31	5	5	5	6	4	0	1	3
SNORD30	1	0	1	2	3	0	1	0
SNORD29	4	1	4	4	0	0	3	1
SNORD28	1	2	1	4	0	1	0	4
SNORD27	0	1	0	1	0	0	1	0
SNORD26	1	1	0	1	0	1	0	1
SNORD25	6	4	1	4	0	0	0	2
SLC3A2	7128	5662	5559	4657	7441	5795	5037	5727
CHRM1	0	0	1	0	0	2	0	0
SLC22A6	0	3	0	0	0	0	0	0
SLC22A8	0	0	0	0	0	0	0	0
SLC22A24	0	0	0	0	0	0	0	0
SLC22A25	0	0	0	0	0	0	0	0
MIR3680-1	0	0	0	0	0	0	0	0
MIR3680-2	0	0	0	0	0	0	0	0
SLC22A10	0	0	0	0	0	0	0	0
SLC22A9	0	0	0	0	0	0	0	0
HRASLS5	12	4	2	5	3	8	5	10
LGALS12	417	296	191	284	230	58	31	77
RARRES3	68	166	79	25	252	42	29	63
HRASLS2	2	1	0	0	0	0	0	0
PLA2G16	915	602	652	717	1425	819	817	902
ATL3	1862	1420	1491	1808	429	1779	1633	1796
RTN3	7694	5519	6173	6521	5728	6432	6571	6289
C11orf95	425	767	837	470	274	199	162	116
C11orf84	740	548	534	732	541	424	600	577
MARK2	1559	1151	1120	1368	655	1192	1333	1353
RCOR2	44	184	220	100	51	8	1	0
NAA40	567	514	556	612	393	442	503	421
COX8A	3798	3613	3559	3298	6068	3467	2646	2863
OTUB1	2043	1812	1854	1943	2111	1803	2188	2266
MACROD1	95	153	155	115	233	87	135	136
FLRT1	5	49	23	5	6	6	0	0
STIP1	4190	3408	3916	4464	2951	3229	5174	4979
FERMT3	16913	9223	9302	12203	12983	12551	12828	13015
TRPT1	161	218	182	158	243	136	181	166
NUDT22	590	483	452	336	745	376	387	415
DNAJC4	569	700	592	571	754	554	732	627
VEGFB	3666	3131	3197	3208	4695	3504	4365	4479
FKBP2	561	605	542	505	683	363	418	447
PPP1R14B	896	1157	1115	1099	1284	615	793	605
PLCB3	1545	1150	1084	1822	902	928	1676	1600
BAD	513	634	535	411	826	359	424	431
GPR137	821	786	712	628	859	563	543	601
KCNK4	0	0	1	0	6	0	1	3
TEX40	1	3	1	3	6	5	1	7
ESRRA	654	574	504	583	606	449	572	554
TRMT112	2245	2066	2121	2089	2761	1892	1632	2164
PRDX5	2722	3810	3418	2972	4141	2152	2506	2268
CCDC88B	363	219	243	403	338	253	364	581
RPS6KA4	1586	1615	1359	1341	1508	1226	1574	1372
MIR1237	0	0	0	0	0	0	0	0
LOC100996455	3	3	7	12	8	4	6	13
SLC22A11	0	2	2	1	0	0	0	0
SLC22A12	0	0	0	0	0	0	0	0
NRXN2	59	338	410	22	131	61	0	0
RASGRP2	32	14	12	16	11	2	8	2
PYGM	6	37	32	73	20	12	5	3
