AST_E3	AST_E3	AST_E3	AST_E4	AST_E4	AST_E4
C13orf35	0	0	0	0	0	0
ATP11A	199	284	266	145	347	347
MCF2L-AS1	0	2	0	0	2	3
MCF2L	69	131	22	16	89	111
F7	0	1	0	0	1	3
F10	6	3	3	3	11	21
PROZ	0	0	0	0	0	0
PCID2	258	230	324	135	304	340
CUL4A	877	962	925	479	1240	1309
LAMP1	4535	4934	4179	1517	5655	4881
GRTP1	12	14	7	5	16	25
ADPRHL1	13	8	15	1	4	10
DCUN1D2	45	64	48	12	38	70
TMCO3	1408	1313	1488	626	1917	1962
TFDP1	656	803	947	391	821	864
ATP4B	0	0	0	1	0	0
GRK1	0	0	0	0	0	0
LINC00552	0	0	0	0	0	0
TMEM255B	24	53	33	9	32	21
GAS6-AS1	2	0	2	1	2	0
GAS6	1446	1796	928	134	1462	744
LOC100506394	32	47	11	13	36	15
LINC00565	4	9	2	1	6	1
RASA3	576	713	667	202	758	618
CDC16	676	648	599	430	771	840
UPF3A	68	56	85	28	90	118
CHAMP1	248	361	365	202	443	452
OR11H12	0	0	0	0	0	0
LOC642426	0	0	0	0	0	0
POTEG	0	0	0	0	0	0
LINC00516	0	0	0	0	0	0
LOC101101776	0	0	0	0	0	0
POTEM	0	0	0	0	0	0
OR11H2	0	0	0	0	0	0
OR4Q3	0	0	0	0	0	0
OR4M1	0	0	0	0	0	0
OR4N2	0	0	0	0	0	0
OR4K2	0	0	0	0	0	0
OR4K5	0	0	0	0	0	0
OR4K1	0	0	0	0	0	0
OR4K15	0	0	0	0	0	0
OR4K14	0	0	0	0	0	0
OR4K13	0	0	0	0	0	0
OR4L1	0	0	0	0	0	0
OR4K17	0	0	0	0	0	0
OR4N5	0	0	0	0	0	0
OR11G2	0	0	0	0	0	0
OR11H6	0	0	0	0	0	0
OR11H4	0	0	0	0	0	0
TTC5	102	100	92	27	155	139
CCNB1IP1	154	171	131	60	171	250
SNORD126	0	0	0	0	0	0
RPPH1	4	1	0	0	0	0
PARP2	140	203	187	99	176	243
TEP1	178	290	241	63	280	271
KLHL33	0	0	0	0	0	1
OSGEP	102	106	147	29	126	94
APEX1	1293	1487	1264	497	1558	1740
TMEM55B	116	108	102	12	114	102
PNP	205	133	353	92	280	277
RNASE10	0	0	0	0	0	0
RNASE9	0	0	0	0	0	0
RNASE11	0	0	0	0	0	0
RNASE12	0	0	0	0	0	0
OR6S1	0	0	0	0	0	0
ANG	12	14	17	0	22	18
RNASE4	125	69	98	63	143	136
EDDM3A	0	0	0	0	0	0
EDDM3B	0	0	0	0	0	0
RNASE6	0	0	0	0	0	0
RNASE1	0	0	0	0	0	0
RNASE3	0	0	0	0	0	0
ECRP	0	0	0	0	0	0
RNASE2	0	0	0	0	0	0
METTL17	119	150	126	46	159	146
SLC39A2	0	0	0	0	0	0
NDRG2	9	24	8	6	22	23
TPPP2	0	0	0	0	0	0
RNASE13	1	0	0	0	0	0
RNASE7	0	0	0	0	0	0
RNASE8	0	0	0	0	0	0
ARHGEF40	1224	1015	802	122	1304	899
ZNF219	165	147	88	14	120	76
TMEM253	2	1	0	1	0	4
OR5AU1	0	0	0	0	0	0
LINC00641	56	88	98	35	127	63
HNRNPC	1709	2053	2161	1042	2509	2421
RPGRIP1	0	0	0	0	0	0
SUPT16H	1223	1636	1583	969	1726	1935
CHD8	830	1101	972	488	1290	1299
SNORD9	0	0	0	0	0	0
SNORD8	0	0	0	0	0	0
RAB2B	165	217	194	103	304	225
TOX4	549	623	564	233	762	727
METTL3	174	213	252	136	266	255
SALL2	292	386	216	55	333	265
OR10G3	0	0	0	0	0	0
OR10G2	0	0	0	0	0	0
OR4E2	0	0	0	0	0	0
DAD1	1058	1095	1275	378	1310	1226
ABHD4	420	577	351	62	466	472
OXA1L	855	897	842	236	987	1031
SLC7A7	14	10	5	2	9	4
MRPL52	323	310	308	88	334	306
MMP14	8062	6366	5711	827	5684	4279
LRP10	2524	2291	1920	245	2828	1784
REM2	2	1	0	0	1	0
RBM23	585	678	597	186	687	738
PRMT5	505	559	642	165	660	661
HAUS4	117	131	129	48	130	159
MIR4707	0	0	0	0	0	0
AJUBA	533	617	255	87	427	352
C14orf93	60	48	55	15	55	48
PSMB5	1057	896	999	235	1149	1012
PSMB11	0	0	0	0	0	0
CDH24	96	86	49	5	55	48
ACIN1	1085	1018	1012	374	1148	1211
C14orf119	372	358	375	166	534	480
CEBPE	0	0	0	0	0	0
SLC7A8	241	587	77	6	41	48
HOMEZ	113	106	107	24	127	112
PPP1R3E	20	27	32	4	21	31
BCL2L2-PABPN1	0	0	0	0	0	0
BCL2L2	125	122	153	43	194	162
PABPN1	16	10	12	1	4	6
SLC22A17	457	461	261	22	310	197
EFS	334	331	295	63	343	267
IL25	0	0	0	0	0	0
CMTM5	0	0	1	0	0	0
MYH6	1	0	0	0	0	0
MIR208A	0	0	0	0	0	0
MYH7	2	3	2	0	2	0
MIR208B	0	0	0	0	0	0
NGDN	141	122	130	47	135	185
THTPA	87	91	90	17	87	95
ZFHX2	35	87	36	6	52	57
AP1G2	105	92	119	20	99	120
JPH4	9	6	14	2	32	16
DHRS2	3	0	3	2	8	4
DHRS4-AS1	99	109	103	31	148	135
DHRS4	114	80	86	17	78	71
DHRS4L2	32	18	16	2	26	32
DHRS4L1	1	0	0	0	1	0
LRRC16B	2	2	0	2	5	2
CPNE6	0	0	0	0	0	0
NRL	3	3	0	1	3	2
PCK2	507	452	191	38	282	306
DCAF11	336	378	304	69	410	387
FITM1	0	0	2	1	1	2
PSME1	657	716	654	246	783	922
EMC9	47	69	63	16	48	50
PSME2	299	305	286	99	280	319
RNF31	313	320	262	32	290	256
IRF9	282	258	256	62	285	302
REC8	230	432	140	31	153	166
IPO4	431	500	551	88	515	440
TM9SF1	663	705	747	216	947	919
TSSK4	0	0	0	0	0	0
CHMP4A	282	267	234	102	293	356
NEDD8-MDP1	0	0	0	0	0	0
MDP1	1	3	1	0	1	1
NEDD8	288	276	276	91	434	391
GMPR2	280	261	255	113	361	344
TINF2	314	298	277	69	408	373
TGM1	4	7	9	0	6	5
RABGGTA	230	211	200	40	292	199
DHRS1	143	153	100	29	160	148
NOP9	97	142	102	29	145	96
CIDEB	1	0	0	6	1	0
LTB4R2	7	7	5	0	1	0
LTB4R	10	15	16	3	14	14
ADCY4	7	0	2	3	1	2
RIPK3	3	0	5	0	3	3
NFATC4	328	170	246	40	274	161
NYNRIN	1029	478	869	198	887	728
CBLN3	17	18	18	5	25	22
KHNYN	438	436	422	129	499	495
SDR39U1	124	130	101	19	134	100
CMA1	0	0	0	0	0	0
CTSG	0	0	0	0	0	0
GZMH	0	0	0	0	0	0
GZMB	0	0	0	0	0	0
STXBP6	9	1	6	3	1	4
NOVA1	151	331	201	92	291	394
MIR4307	0	0	0	0	0	0
LINC00645	0	0	0	0	0	0
FOXG1	815	1364	932	301	959	1060
C14orf23	188	402	261	140	306	440
MIR548AI	0	0	0	0	0	0
PRKD1	103	230	222	108	219	295
G2E3	93	112	159	126	141	164
SCFD1	484	479	538	474	715	798
COCH	21	23	14	11	16	29
LOC100506071	1	1	0	0	0	0
STRN3	297	400	402	307	468	519
MIR624	0	0	0	0	0	0
AP4S1	54	52	62	38	67	90
HECTD1	1431	2041	2035	1286	2579	2754
HEATR5A	305	391	480	207	591	495
DTD2	151	157	126	112	162	167
GPR33	0	0	0	0	0	0
NUBPL	57	77	89	46	73	94
ARHGAP5-AS1	12	6	23	6	14	12
ARHGAP5	608	1013	1127	708	1021	1303
AKAP6	22	28	25	12	21	18
NPAS3	47	77	56	27	42	63
EGLN3	6	16	0	11	7	0
SPTSSA	384	312	423	296	428	506
EAPP	275	297	245	146	272	386
SNX6	1019	1035	1171	1124	1334	1555
CFL2	706	849	804	582	952	1031
BAZ1A	398	450	508	359	478	499
IGBP1P1	0	0	0	0	0	0
SRP54	604	634	685	672	891	955
FAM177A1	300	319	274	248	389	514
PPP2R3C	192	184	239	193	239	239
KIAA0391	283	310	427	188	444	422
PSMA6	577	636	629	312	626	695
NFKBIA	354	288	444	124	448	602
INSM2	0	0	0	0	0	0
RALGAPA1	33	58	49	29	73	79
BRMS1L	116	170	155	104	177	195
LINC00609	0	0	0	0	0	0
PTCSC3	0	0	0	0	0	0
MBIP	139	212	159	113	190	245
SFTA3	74	101	68	53	93	159
NKX2-1	217	319	169	73	296	289
NKX2-8	0	0	1	0	0	0
PAX9	8	22	88	37	46	40
SLC25A21	12	18	12	23	19	19
MIR4503	0	0	0	0	0	0
LOC100129794	6	7	11	5	12	15
MIPOL1	61	97	88	68	85	108
FOXA1	0	0	0	0	0	0
SSTR1	0	0	1	0	0	1
CLEC14A	0	0	1	0	0	0
LINC00639	0	0	0	0	1	1
SEC23A	1759	1992	2089	1317	2484	2517
GEMIN2	66	65	75	32	68	71
TRAPPC6B	220	238	253	208	278	326
PNN	342	419	438	268	372	483
MIA2	0	0	0	0	0	0
CTAGE5	137	117	112	113	137	173
LOC100288846	3	4	1	1	3	6
FBXO33	169	195	183	113	208	297
LRFN5	5	6	8	1	10	5
FSCB	0	0	0	0	0	0
C14orf28	17	16	23	15	14	33
KLHL28	104	86	146	92	135	160
FAM179B	160	240	239	120	276	313
PRPF39	126	127	151	135	141	193
SNORD127	0	0	0	0	0	0
FKBP3	613	619	614	543	823	929
FANCM	40	56	75	66	59	75
MIS18BP1	144	275	234	244	171	276
RPL10L	0	0	0	0	0	0
MDGA2	1	6	1	0	1	3
MIR548Y	0	0	0	0	0	0
LINC00648	4	4	3	2	5	4
RPS29	1195	1251	1940	827	3121	3368
LRR1	62	74	95	50	74	80
RPL36AL	521	447	496	192	450	415
MGAT2	568	456	649	275	594	636
DNAAF2	95	83	97	62	103	133
POLE2	27	40	49	20	31	49
KLHDC1	15	10	11	4	6	15
KLHDC2	257	295	259	158	350	362
NEMF	367	476	497	448	536	670
ARF6	1187	1249	1170	762	1573	1629
C14orf182	2	0	0	0	0	0
C14orf183	0	0	2	0	1	2
METTL21D	41	40	52	21	34	35
SOS2	373	566	421	333	612	695
L2HGDH	37	64	50	29	41	57
ATP5S	26	28	28	26	34	31
CDKL1	8	4	12	7	14	10
MAP4K5	482	633	691	557	877	811
ATL1	152	150	111	99	216	208
SAV1	235	246	247	130	265	264
NIN	412	499	668	342	618	645
ABHD12B	0	0	0	0	0	0
PYGL	333	405	354	157	355	483
TRIM9	4	5	2	1	2	5
TMX1	456	504	518	358	541	577
LINC00640	0	0	0	0	0	0
FRMD6-AS2	0	0	0	0	0	0
FRMD6	656	866	652	281	688	484
FRMD6-AS1	4	2	5	3	0	1
GNG2	509	782	828	319	572	610
C14orf166	899	896	868	885	1095	1392
NID2	1576	1956	2686	1121	3853	3517
PTGDR	0	0	0	6	11	6
PTGER2	35	58	11	22	31	53
TXNDC16	39	70	68	45	56	75
GPR137C	10	25	25	0	12	10
ERO1L	459	522	611	526	624	681
PSMC6	212	237	238	213	322	348
STYX	370	442	462	295	492	542
GNPNAT1	698	519	1048	503	864	887
FERMT2	1641	1434	1786	1216	2138	2135
DDHD1	215	277	250	144	313	312
MIR5580	0	0	0	0	0	0
BMP4	659	864	297	90	715	567
CDKN3	60	104	126	74	65	80
CNIH	710	604	754	384	903	908
GMFB	631	856	831	582	984	1017
CGRRF1	54	53	62	34	62	82
SAMD4A	489	657	541	242	773	685
GCH1	10	11	15	7	16	23
MIR4308	0	0	0	0	0	0
WDHD1	149	220	238	232	207	210
SOCS4	217	333	270	229	321	377
MAPK1IP1L	1035	1290	1024	540	1373	1194
LGALS3	1294	587	1412	582	1261	1643
DLGAP5	193	320	468	349	200	241
FBXO34	175	175	172	74	189	181
ATG14	162	183	181	120	229	233
TBPL2	0	0	0	0	0	0
KTN1-AS1	3	9	7	2	8	7
KTN1	1565	2082	2178	1995	2145	2924
RPL13AP3	0	2	0	0	0	0
LINC00520	0	0	0	1	0	1
PELI2	71	163	92	68	114	116
C14orf101	189	216	187	122	276	300
OTX2	189	354	79	74	258	372
OTX2-AS1	5	8	0	0	7	5
EXOC5	680	821	850	622	958	1142
AP5M1	262	313	300	220	337	390
NAA30	253	374	300	206	381	385
C14orf105	0	0	0	0	0	0
SLC35F4	0	0	0	0	0	0
C14orf37	61	94	45	30	91	79
ACTR10	495	522	526	321	688	724
PSMA3	561	593	651	409	750	798
FLJ31306	107	120	130	95	140	172
ARID4A	103	141	175	123	163	233
TOMM20L	0	0	0	0	0	0
TIMM9	158	136	144	89	160	192
KIAA0586	176	286	296	195	246	273
DACT1	48	40	25	18	59	50
DAAM1	124	118	105	93	147	137
GPR135	7	5	1	2	7	7
L3HYPDH	80	79	67	25	80	64
JKAMP	359	379	320	219	464	516
CCDC175	0	1	2	3	0	0
RTN1	75	204	11	7	13	18
LRRC9	1	0	0	0	0	0
PCNXL4	298	413	412	230	409	443
DHRS7	352	354	295	117	430	455
PPM1A	425	486	451	340	569	628
C14orf39	3	5	2	5	4	9
SIX6	0	0	0	0	0	0
SIX1	954	352	1779	684	1363	815
SIX4	382	569	570	372	756	834
MNAT1	163	142	195	149	207	278
TRMT5	231	272	262	151	317	371
SLC38A6	79	107	137	98	140	139
TMEM30B	13	21	14	10	18	28
PRKCH	18	13	27	10	18	19
FLJ22447	3	13	3	0	1	0
HIF1A	6104	8232	8412	5392	9520	10757
HIF1A-AS2	1	0	2	1062	0	4
SNAPC1	162	161	224	172	198	228
SYT16	0	5	1	1	4	2
LINC00643	0	0	0	0	0	0
KCNH5	1	1	0	0	1	0
RHOJ	158	174	54	28	143	87
GPHB5	0	0	0	0	0	0
PPP2R5E	338	479	418	302	490	610
WDR89	88	86	102	62	82	116
SGPP1	244	271	297	198	347	446
SYNE2	275	814	791	341	512	665
ESR2	21	44	18	0	15	16
TEX21P	1	1	0	0	0	3
MTHFD1	689	938	851	294	779	838
AKAP5	57	88	39	39	79	83
ZBTB25	19	28	36	13	40	34
ZBTB1	303	284	326	266	366	445
HSPA2	5	9	5	5	5	9
PPP1R36	3	3	1	1	3	0
PLEKHG3	82	114	94	3	69	54
SPTB	2	0	2	1	0	6
CHURC1-FNTB	0	0	0	0	0	0
CHURC1	359	387	366	265	484	487
GPX2	0	0	0	0	0	0
RAB15	246	353	154	33	208	173
FNTB	6	10	5	0	17	22
MAX	512	476	578	185	519	552
MIR4706	0	0	0	0	0	0
LOC100506321	0	0	1	8	0	1
MIR4708	0	0	0	0	0	0
FUT8	396	410	521	237	523	471
FUT8-AS1	2	2	6	1	6	1
LINC00238	0	0	0	0	0	0
GPHN	134	184	189	67	181	184
FAM71D	0	0	0	0	0	0
MPP5	347	419	320	229	401	528
ATP6V1D	531	564	547	333	642	637
EIF2S1	870	922	1019	595	1135	1193
PLEK2	4	5	3	0	2	2
TMEM229B	7	2	9	2	3	4
PLEKHH1	7	18	6	3	11	6
PIGH	62	42	42	17	60	60
ARG2	33	40	11	44	17	32
VTI1B	486	462	436	193	553	580
RDH11	715	648	672	315	799	767
RDH12	0	1	0	0	0	0
ZFYVE26	347	466	415	137	524	471
RAD51B	21	28	22	15	20	20
ZFP36L1	2878	3408	2969	1288	3523	3525
ACTN1	6923	8586	5908	1895	7595	5941
ACTN1-AS1	0	0	0	0	0	0
DCAF5	569	628	528	166	658	644
EXD2	285	332	277	126	374	375
GALNT16	121	97	11	0	14	15
ERH	967	975	966	449	869	943
SLC39A9	591	774	728	326	943	831
PLEKHD1	0	0	0	0	0	0
CCDC177	0	2	0	0	0	0
KIAA0247	547	597	479	104	515	441
LOC100289511	0	0	0	5	0	0
SRSF5	551	583	531	328	649	756
SLC10A1	0	0	0	0	0	0
SMOC1	140	236	63	33	108	157
SLC8A3	0	2	0	0	0	0
ADAM21P1	0	0	0	0	0	0
SYNJ2BP-COX16	0	0	0	0	0	0
COX16	13	9	10	2	13	11
SYNJ2BP	285	365	360	262	448	497
ADAM21	1	1	2	1	1	1
ADAM20P1	0	1	0	0	1	1
ADAM20	0	1	0	0	0	0
MED6	133	168	186	125	210	250
TTC9	42	67	124	21	71	56
MAP3K9	30	134	58	21	73	87
PCNX	568	1074	808	392	1036	950
SNORD56B	0	0	0	0	0	0
LOC145474	0	0	0	0	0	0
SIPA1L1	266	607	551	367	1328	1398
RGS6	0	1	0	0	0	0
DPF3	46	29	52	19	69	31
DCAF4	78	104	57	29	83	80
ZFYVE1	366	387	300	73	348	281
RBM25	686	872	880	572	837	1014
PSEN1	714	793	736	362	1006	987
PAPLN	792	1099	559	123	831	890
NUMB	402	437	631	269	739	678
HEATR4	1	0	0	3	0	2
C14orf169	134	128	126	36	162	158
ACOT1	12	4	3	3	10	9
ACOT2	71	52	39	13	57	68
ACOT4	8	2	6	2	10	6
ACOT6	0	0	0	0	0	0
DNAL1	88	97	107	50	114	94
PNMA1	1391	1291	1202	287	1383	1287
ELMSAN1	435	559	425	130	676	580
MIR4505	0	0	0	0	0	0
PTGR2	59	59	42	34	46	75
ZNF410	328	267	291	115	355	327
FAM161B	94	81	79	45	97	106
COQ6	86	98	86	19	135	111
ENTPD5	80	115	100	40	121	110
CCDC176	45	27	60	32	52	64
ALDH6A1	104	158	126	64	134	137
LIN52	54	53	60	43	59	80
VSX2	0	0	0	0	0	0
ABCD4	132	168	110	25	141	146
VRTN	0	0	0	0	0	0
SYNDIG1L	0	0	0	1	0	0
NPC2	1370	1716	1596	806	2168	2209
MIR4709	0	0	0	0	0	0
ISCA2	175	156	173	49	180	187
LTBP2	6624	5825	8062	1403	7895	5657
KIAA0317	449	637	471	213	656	621
FCF1	284	226	271	170	288	344
YLPM1	1016	1256	1096	485	1363	1412
PROX2	0	0	0	1	0	0
DLST	711	703	721	215	827	781
RPS6KL1	4	0	2	0	1	0
PGF	112	37	75	9	63	71
EIF2B2	306	356	307	126	390	388
MLH3	144	149	172	77	166	171
ACYP1	14	12	18	9	20	23
ZC2HC1C	3	5	4	0	9	4
NEK9	925	1109	1003	360	1179	1144
TMED10	2958	3279	3550	1626	4638	4397
FOS	8	20	18	5	18	17
LOC731223	0	0	1	0	1	1
JDP2	502	247	231	52	268	302
BATF	0	0	0	0	0	0
FLVCR2	80	69	99	21	123	165
C14orf1	341	360	281	174	433	431
TTLL5	216	279	285	137	337	307
TGFB3	217	83	64	37	122	100
IFT43	78	75	95	27	102	105
GPATCH2L	71	137	124	43	143	129
ESRRB	0	0	0	0	0	0
VASH1	356	388	940	45	224	166
ANGEL1	152	147	138	20	169	118
C14orf166B	0	0	0	0	0	0
IRF2BPL	988	830	765	190	962	792
KIAA1737	140	204	170	76	232	189
ZDHHC22	0	0	0	0	1	0
TMEM63C	14	27	3	1	23	13
NGB	0	0	0	0	0	0
MIR1260A	0	0	0	0	0	0
POMT2	258	251	228	46	258	205
GSTZ1	71	67	54	8	74	62
TMED8	12	16	17	6	13	21
SAMD15	8	11	21	14	16	9
NOXRED1	0	1	2	0	2	1
VIPAS39	273	263	215	100	307	333
AHSA1	686	652	724	306	903	893
ISM2	0	1	0	0	0	2
SPTLC2	489	759	633	255	736	670
ALKBH1	113	132	99	31	124	114
SLIRP	217	227	269	179	391	390
SNW1	647	643	633	416	785	903
C14orf178	0	0	0	1	0	0
ADCK1	77	50	63	8	58	58
NRXN3	100	114	23	9	10	14
DIO2	213	21	366	369	455	421
DIO2-AS1	0	0	0	0	0	0
CEP128	30	56	56	46	44	36
TSHR	0	0	0	0	1	0
GTF2A1	556	880	702	525	885	880
SNORA79	0	0	0	0	0	0
STON2	207	735	18	6	10	14
SEL1L	1466	1672	1714	914	2096	2191
FLRT2	660	82	516	273	563	417
LOC283585	0	0	0	0	0	0
GALC	208	182	246	146	309	269
GPR65	1	0	2	0	0	0
LOC283587	0	0	0	0	0	0
KCNK10	0	0	0	0	0	0
SPATA7	73	95	71	55	87	99
PTPN21	306	362	350	177	373	349
ZC3H14	409	601	606	450	642	716
EML5	1	2	2	8	0	3
TTC8	103	147	116	50	133	149
FOXN3	848	1396	593	477	1290	1415
FOXN3-AS1	5	21	10	3	18	12
FOXN3-AS2	0	0	0	0	0	0
EFCAB11	21	23	16	17	22	26
TDP1	108	173	176	59	141	157
KCNK13	0	1	0	1	5	4
PSMC1	4	4	5	6	9	9
NRDE2	110	118	113	56	137	142
CALM1	3392	3799	4073	2254	4155	4380
LINC00642	0	0	0	0	0	0
TTC7B	168	186	187	82	227	237
RPS6KA5	7	5	7	5	7	4
C14orf159	97	96	61	20	58	62
SNORA11B	0	0	0	0	0	0
GPR68	4	8	5	0	5	1
CCDC88C	96	114	129	28	69	82
SMEK1	623	735	747	530	740	866
CATSPERB	0	0	0	0	0	0
TC2N	1	0	0	0	1	3
FBLN5	2887	372	3210	952	2275	2535
TRIP11	533	638	685	639	729	835
ATXN3	133	201	166	145	187	243
NDUFB1	194	229	303	156	351	439
CPSF2	738	887	851	600	1010	1129
SLC24A4	0	0	0	0	0	0
RIN3	245	158	183	27	279	174
LGMN	549	491	521	108	636	485
GOLGA5	495	510	538	357	617	726
CHGA	0	0	0	0	0	0
ITPK1	324	329	350	44	328	276
ITPK1-AS1	0	0	0	0	0	0
MOAP1	97	155	115	59	144	162
TMEM251	59	58	46	31	54	66
C14orf142	32	58	53	54	76	91
UBR7	402	566	530	247	633	692
BTBD7	536	732	676	311	826	788
UNC79	2	2	3	0	2	2
COX8C	0	0	0	0	0	1
PRIMA1	0	0	0	0	0	0
FAM181A-AS1	0	0	0	0	0	0
FAM181A	0	0	0	0	0	0
ASB2	1	1	0	0	0	3
LINC00521	0	0	0	0	0	0
OTUB2	40	37	31	9	65	46
DDX24	1333	1486	1299	642	1658	1872
IFI27L1	56	38	34	8	36	36
IFI27	9	4	5	0	3	2
IFI27L2	170	96	74	13	93	70
PPP4R4	7	32	11	6	14	32
SERPINA10	0	0	0	0	0	0
SERPINA6	0	0	0	0	1	0
SERPINA1	2	4	0	0	2	17
SERPINA11	0	0	0	0	0	0
SERPINA9	1	0	0	0	0	1
SERPINA12	0	0	0	0	0	0
SERPINA4	0	0	0	0	0	0
SERPINA5	3	3	0	7	2	15
SERPINA3	645	529	793	132	1034	1050
SERPINA13P	0	0	0	0	0	0
GSC	0	0	0	0	0	0
DICER1	623	587	894	612	935	965
MIR3173	0	0	0	0	0	0
DICER1-AS1	4	4	3	0	2	4
CLMN	47	51	33	18	40	36
LINC00341	99	36	117	52	186	175
SYNE3	92	62	100	25	138	85
SNHG10	9	10	10	5	17	14
SCARNA13	0	0	0	0	0	0
GLRX5	265	257	270	78	279	305
TCL6	0	0	0	0	0	0
TCL1B	0	0	0	0	0	0
TCL1A	0	0	0	0	0	0
LINC00617	0	0	0	0	0	0
C14orf132	71	132	53	22	229	118
BDKRB2	10	0	8	4	15	1
BDKRB1	4	0	0	0	1	0
ATG2B	266	379	401	233	528	541
GSKIP	190	219	247	132	247	254
AK7	0	1	2	2	4	1
PAPOLA	1101	1520	1422	962	1681	1894
VRK1	72	87	146	74	77	123
LOC100129345	0	0	0	0	0	0
C14orf64	0	2	0	0	0	0
C14orf177	0	0	0	0	0	0
BCL11B	9	8	1	1	4	4
SETD3	395	455	463	221	516	485
CCNK	681	597	619	282	715	646
CCDC85C	235	339	184	33	227	177
HHIPL1	46	42	35	8	40	39
MIR5698	0	0	0	0	0	0
CYP46A1	8	11	8	0	7	4
EML1	417	590	503	249	899	703
EVL	328	366	223	86	347	266
DEGS2	0	0	0	0	0	0
YY1	692	797	711	410	819	914
SLC25A29	164	164	180	8	142	83
MIR345	0	0	0	0	0	0
SLC25A47	0	0	0	0	0	0
WARS	2614	2589	2063	993	3199	3410
WDR25	141	166	88	23	96	96
BEGAIN	47	69	8	6	40	25
LINC00523	0	0	0	0	0	0
DLK1	1129	2581	922	219	1768	2339
MIR2392	0	0	0	0	0	0
MEG3	0	0	0	0	0	0
MIR770	0	0	0	0	0	0
MIR493	0	0	0	0	0	0
MIR337	0	0	0	0	0	0
MIR665	0	0	0	0	0	0
RTL1	41	95	12	7	76	76
MIR431	0	0	0	0	0	0
MIR433	0	0	0	0	0	0
MIR127	0	0	0	0	0	0
MIR432	0	0	0	1	0	0
MIR136	0	0	0	0	0	0
MEG8	0	0	0	0	0	0
SNORD113-1	0	0	0	0	0	0
SNORD113-2	0	0	0	0	0	0
SNORD113-4	0	0	0	0	0	0
SNORD113-5	0	0	0	0	0	0
SNORD113-6	0	0	0	0	0	0
SNORD113-7	0	0	0	0	0	0
SNORD113-9	0	0	0	0	0	0
SNORD114-1	0	0	0	0	0	0
SNORD114-2	0	0	0	0	0	0
SNORD114-3	0	0	0	0	0	0
SNORD114-4	0	0	0	0	0	0
SNORD114-5	0	0	0	0	0	0
SNORD114-6	0	0	0	0	0	0
SNORD114-7	0	0	0	0	0	0
SNORD114-8	0	0	0	0	0	0
SNORD114-9	0	0	0	0	0	0
SNORD114-10	0	0	0	0	0	0
SNORD114-11	0	0	0	0	0	0
SNORD114-12	0	0	0	0	0	0
SNORD114-13	0	0	0	0	0	0
SNORD114-14	0	0	0	0	0	0
SNORD114-15	0	0	0	0	0	0
SNORD114-16	0	0	0	0	0	0
SNORD114-17	0	0	0	0	0	0
SNORD114-18	0	0	0	0	0	0
SNORD114-19	0	0	0	0	0	0
SNORD114-20	0	0	0	0	0	0
SNORD114-21	0	0	0	0	0	0
SNORD114-22	0	0	0	0	0	0
SNORD114-23	0	0	0	0	0	0
SNORD114-24	0	0	0	0	0	0
SNORD114-25	0	0	0	0	0	0
SNORD114-26	0	0	0	0	0	0
SNORD114-27	0	0	0	0	0	0
SNORD114-28	0	0	0	0	0	0
SNORD114-29	0	0	0	0	0	0
SNORD114-30	0	0	0	0	0	0
SNORD114-31	0	0	0	0	0	0
MIR379	0	0	0	0	0	0
MIR411	0	0	0	0	0	0
MIR299	0	0	0	0	0	0
MIR380	0	0	0	0	0	0
MIR1197	0	0	0	0	0	0
MIR323A	0	0	0	0	0	0
MIR758	0	0	0	0	0	0
MIR329-1	0	0	0	0	0	0
MIR329-2	0	0	0	0	0	0
MIR494	0	0	0	0	0	0
MIR1193	0	0	0	0	0	0
MIR543	0	0	0	0	0	0
MIR495	0	0	0	0	0	0
MIR376C	0	0	0	0	0	0
MIR376A2	0	0	0	0	0	0
MIR654	0	0	0	0	0	0
MIR376B	0	0	0	0	0	0
MIR376A1	0	0	0	0	0	0
MIR300	0	0	0	0	0	0
MIR1185-1	0	0	0	0	0	0
MIR1185-2	0	0	0	0	0	0
MIR381	0	0	0	0	0	0
MIR487B	0	0	0	0	0	0
MIR539	0	0	0	0	0	0
MIR889	0	0	0	0	0	0
MIR655	0	0	0	0	0	0
MIR487A	0	0	0	0	0	0
MIR382	0	0	0	0	0	0
MIR134	0	0	0	0	0	0
MIR668	0	0	0	0	0	0
MIR485	0	0	0	0	0	0
MIR323B	0	0	0	0	0	0
MIR154	0	0	0	0	0	0
MIR496	0	0	0	0	0	0
MIR377	0	0	0	0	0	0
MIR541	0	0	0	0	0	0
MIR409	0	0	0	0	0	0
MIR412	0	0	0	0	0	0
MIR369	0	0	0	0	0	0
MIR410	0	0	0	0	0	0
MIR656	0	0	0	0	0	0
MEG9	0	0	0	0	0	0
DIO3OS	0	0	0	0	0	0
MIR1247	0	0	0	0	0	0
DIO3	0	3	2	0	0	7
LINC00239	0	0	0	0	0	0
PPP2R5C	696	952	801	468	952	1052
DYNC1H1	7817	11530	9881	3467	12575	11136
HSP90AA1	4744	6527	7264	5498	8915	11219
WDR20	149	184	160	98	181	180
MOK	16	12	15	9	22	20
ZNF839	49	61	79	14	73	82
CINP	195	193	194	84	201	228
TECPR2	513	549	481	114	609	515
ANKRD9	61	38	37	4	62	41
MIR4309	0	0	0	0	0	0
RCOR1	493	640	640	298	780	751
TRAF3	245	299	283	89	364	274
AMN	1	1	0	0	0	0
CDC42BPB	2043	2510	2278	745	2874	2680
